item,cuisine,trans_fat,cholesterol,health_star,calories
40 piece Chicken McNuggets,Mcdonalds,0.5,295,1,1770
Footlong Subway Melt (includes cheese),Subway,0.0,90,1,740
Triple Melt Burrito,Taco Bell,0.0,30,2,410
Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),Subway,1.0,100,1,510
Footlong Carved Turkey,Subway,0.0,90,2,660
Double Hamburger,Burger King,0.0,70,2,360
Chopped Side Salad,Arbys,0.0,15,5,70
Smokehouse BBQ Bacon Sandwich,Chick Fil-A,0.0,95,2,500
Super Roast Beef,Arbys,1.0,45,2,430
Smoke Mountain w/ Beef Short Rib,Arbys,1.0,125,1,740
Quarter Pounder® with Cheese,Mcdonalds,1.5,100,1,530
Large Spicy Jumbo Popcorn Chicken,Sonic,0.0,80,2,610
Chargrilled Chicken Cool Wrap,Chick Fil-A,0.0,60,2,350
Cool Ranch® Doritos® Locos Taco Supreme,Taco Bell,0.0,35,4,200
Fiesta Taco Salad-Beef,Taco Bell,1.0,60,1,780
6 Piece Grilled Chicken Nuggets,Chick Fil-A,0.0,50,5,110
7-Layer Burrito,Taco Bell,0.0,20,2,510
Double Cheesy Gordita Crunch,Taco Bell,1.0,70,1,570
Premium Southwest Salad w/ Grilled Chicken,Mcdonalds,0.0,110,2,350
Ham 'n Cheese Slider,Arbys,0.0,25,2,210
Nacho Crunch Double Stacked Taco,Taco Bell,0.0,35,2,380
Big Hot Pastrami Melt Salad,Subway,0.0,85,1,400
Spicy Triple Double Crunchwrap,Taco Bell,0.5,50,1,780
Side Garden Salad and Avocado Ranch Dressing,Burger King,0.0,30,3,230
4 piece Buttermilk Crispy Chicken Tenders,Mcdonalds,0.0,95,1,480
Doritos® Cheesy Gordita Crunch - Nacho Cheese,Taco Bell,1.0,55,1,490
3 Piece Chick-n-Strips,Chick Fil-A,0.0,70,2,350
Large Jumbo Popcorn Chicken,Sonic,1.0,65,2,560
Jalapeno Chicken Fries,Burger King,0.0,40,2,300
"6"" Corned Beef Reuben",Subway,0.0,85,2,470
Fresco Soft Taco,Taco Bell,0.0,20,4,170
Roast Turkey Farmhouse Salad,Arbys,0.0,55,2,230
Footlong Turkey Breast,Subway,0.0,40,2,560
Big Mac,Mcdonalds,1.0,80,1,540
Fresco Crunchy Taco,Taco Bell,0.0,20,5,140
12 piece Buttermilk Crispy Chicken Tenders,Mcdonalds,1.0,295,1,1510
Bacon & Cheese Whopper,Burger King,2.0,95,1,770
Jr. Chili Cheeseburger,Sonic,0.5,55,1,410
"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",Burger King,0.0,80,1,700
DOUBLE WHOPPER w/o Cheese,Burger King,2.0,140,1,900
Cool Ranch® Doritos® Double Decker® Taco,Taco Bell,0.0,25,3,320
Half Pound Roast Beef Sandwich,Arbys,2.0,130,1,610
"6"" Oven Roasted Chicken",Subway,0.0,25,3,320
Nachos Supreme,Taco Bell,0.0,30,2,430
Veggie Burger With Mustard,Sonic,0.0,10,2,450
Footlong Tuna,Subway,0.0,60,1,940
Rodeo Burger,Burger King,0.5,25,3,310
Big Fish Sandwich,Burger King,0.0,30,1,530
Beefy Fritos® Burrito,Taco Bell,0.0,20,2,440
Chicken Nuggets (10pc),Burger King,0.0,50,2,470
Smothered Burrito - Beef,Taco Bell,1.0,75,1,710
Double Cheeseburger,Mcdonalds,1.0,85,1,430
"Roast Turkey, Ranch & Bacon Sandwich",Arbys,0.5,80,1,800
Hatch Green Chile Cheeseburger,Sonic,2.0,120,1,710
Steak Finger Basket,Dairy Queen,0.5,45,1,910
Deluxe Ultimate Chicken Sandwich,Sonic,0.0,90,1,740
DOUBLE WHOPPER w/ Cheese,Burger King,2.0,160,1,990
Crispy Signature Sriracha Chicken Sandwich,Mcdonalds,0.0,80,1,730
6 piece Buttermilk Crispy Chicken Tenders,Mcdonalds,0.5,145,1,760
Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,Burger King,0.0,150,1,590
6 Piece Chicken McNuggets,Mcdonalds,0.0,45,3,270
Nacho Cheese Doritos® Locos Tacos,Taco Bell,0.0,25,4,170
Loaded Italian Sandwich,Arbys,0.5,100,1,680
Footlong Corned Beef Reuben,Subway,0.0,170,1,940
"6"" Chicken Pizziola Melt",Subway,0.0,80,2,460
Buttermilk Buffalo Chicken Sandwich,Arbys,0.0,60,1,540
Fresco Grilled Steak Soft Taco,Taco Bell,0.0,15,4,150
Chick-n-Slider,Chick Fil-A,0.0,45,2,270
"6"" Veggie Patty",Subway,0.0,10,3,390
Grilled Garlic White Cheddar Chicken Sandwich,Mcdonalds,0.0,125,1,530
"6"" Turkey Italiano Melt (with Provolone)",Subway,1.0,50,1,490
1/2 lb. FlameThrower® GrillBurger,Dairy Queen,2.0,170,1,1000
B.L.T. Salad,Subway,0.0,20,4,150
1/4 lb. Bacon Cheese GrillBurger,Dairy Queen,1.0,95,1,630
Sonic Burger W/ Mustard,Sonic,2.0,100,1,640
Jalapeno Roast Beef 'n Cheese Slider,Arbys,0.0,30,2,240
Chicken Quesalupa,Taco Bell,0.5,60,1,440
Beefy Cheddar Crunchwrap Slider,Taco Bell,0.0,25,2,410
Chili Cheese Burrito,Taco Bell,1.0,35,2,380
BLT Crunchwrap Slider,Taco Bell,0.0,20,2,430
MexiMelt®,Taco Bell,1.0,40,2,270
Chargrilled Chicken Club Sandwich,Chick Fil-A,0.0,85,1,430
"6"" Chicken & Bacon Ranch Melt",Subway,1.0,95,1,570
10 Piece Chicken McNuggets,Mcdonalds,0.0,75,2,440
Chili Cheese Burrito,Taco Bell,1.0,35,2,380
"6"" Black Forest Ham",Subway,0.0,20,3,290
XXL Grilled Stuft Burrito - Chicken,Taco Bell,0.0,85,1,830
Super Sonic Bacon Double Cheeseburger (w/mayo),Sonic,4.0,260,1,1280
Carved Turkey & Bacon w/ Cheese Salad,Subway,0.0,65,2,280
Deluxe Cheeseburger,Dairy Queen,1.0,65,1,400
4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,Mcdonalds,0.0,105,1,640
"6"" Carved Turkey & Bacon w/ Cheese",Subway,0.0,70,1,570
5 Piece Crispy Chicken Tender Dinner,Sonic,0.0,0,1,470
"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",Burger King,0.0,90,1,560
Gordita Supreme® - Steak,Taco Bell,0.0,30,2,270
1/4 lb. Mushroom Swiss GrillBurger,Dairy Queen,1.0,75,1,570
WHOPPER w/ Cheese,Burger King,1.0,100,1,760
Subway Melt® Salad,Subway,0.0,45,2,200
Grilled Hot Dog,Burger King,1.0,30,2,310
Footlong Italian Hero,Subway,0.0,150,1,1100
Roast Beef 'n Cheese Slider,Arbys,0.0,30,2,240
Corn Dog,Sonic,0.0,20,3,210
Double Cheeseburger,Burger King,1.0,95,1,450
Jr. Burger,Sonic,1.0,35,2,340
1/2 lb.* Cheesy Potato Burrito,Taco Bell,1.0,45,2,540
Mexican Pizza,Taco Bell,1.0,40,2,540
Black Forest Ham Salad,Subway,0.0,20,5,110
Footlong Chicken Pizziola Melt,Subway,0.0,160,1,920
Sourdough Chicken Club,Burger King,1.0,95,1,840
2 Piece Chick-n-Strips,Chick Fil-A,0.0,55,3,230
Premium Asian Salad w/ Crispy Chicken,Mcdonalds,0.0,95,1,490
Spicy Potato Soft Taco,Taco Bell,0.0,10,3,250
4 Piece Chicken McNuggets,Mcdonalds,0.0,30,4,180
Pecan Chicken Salad Sandwich,Arbys,0.5,75,1,840
Corned Beef 'n Cheese Slider,Arbys,0.0,30,2,220
Half Pound French Dip & Swiss,Arbys,2.0,150,1,750
Super Sonic Double Cheeseburger W/ Ketchup,Sonic,4.0,235,1,1130
Crispy Chicken BLT Salad,Dairy Queen,0.0,100,1,520
4 Piece Super Crunch Chicken Strip Dinner,Sonic,1.0,75,1,1080
Homestyle Cheeseburger,Burger King,1.5,95,1,550
Jr. Double Cheeseburger,Sonic,2.0,110,1,600
Steak Crunchy Cheesy Core Burrito,Taco Bell,0.0,50,1,610
Chipotle Southwest Steak & Cheese Wrap,Subway,1.0,100,1,760
Nacho Cheese Doritos® Double Decker® Taco,Taco Bell,0.0,25,3,320
Chicken Caesar Salad w/ Grilled Chicken,Burger King,0.0,95,2,530
Fresco Chicken Soft Taco,Taco Bell,0.0,25,5,150
Spicy Crispy Chicken Jr.,Burger King,0.0,35,2,410
Spicy Crispy Chicken Sandwich,Burger King,0.0,65,1,700
Sonic Bacon Cheeseburger (w/mayo),Sonic,2.0,140,1,870
"6"" Turkey & Bacon Avocado",Subway,0.0,30,2,390
Crispy Chicken Sandwich,Dairy Queen,0.0,55,2,600
Sourdough King Single,Burger King,1.5,125,1,730
5 Piece Super Crunch Chicken Strip Dinner,Sonic,1.0,90,1,1190
Triple Decker Sandwich,Arbys,1.0,155,1,1030
Footlong Veggie Patty,Subway,0.0,20,2,780
Spicy Deluxe,Chick Fil-A,0.0,80,1,540
Cheesy Bean and Rice Burrito,Taco Bell,0.0,0,2,420
Smothered Burrito - Steak,Taco Bell,0.5,80,1,670
8 piece Grilled Chicken Nuggets,Chick Fil-A,0.0,70,4,140
Super Sonic Double Cheeseburger W/ Mayo,Sonic,4.0,245,1,1220
Mild Naked Chicken Chalupa,Taco Bell,0.0,70,2,440
Kids Mini Sub Black Forest Ham,Subway,0.0,10,5,180
Grilled Pico Guacamole Chicken Sandwich,Mcdonalds,0.0,115,1,520
Chicken Salad Sandwich,Chick Fil-A,0.0,80,2,490
Footlong Meatball Marinara,Subway,2.0,60,1,960
Barbecue Pork Sandwich,Dairy Queen,0.0,50,2,310
Cantina Power Burrito - Steak,Taco Bell,0.0,50,1,780
McChicken,Mcdonalds,0.0,40,2,350
Regular Grilled Chicken Sub Sandwich,Chick Fil-A,0.0,75,2,450
"6"" Tuna",Subway,0.0,30,3,470
Chili Cheese Dog,Dairy Queen,1.0,55,1,380
Tuna Salad,Subway,0.0,40,4,310
Jalapeno King Sandwich,Burger King,3.0,205,1,990
Kids Mini Sub Turkey Breast,Subway,0.0,10,5,180
Maple Bacon Dijon 1/4 lb Burger,Mcdonalds,1.5,110,1,640
Buttermilk Chicken Bacon & Swiss,Arbys,0.0,90,1,650
Original Double Cheeseburger,Dairy Queen,2.0,125,1,630
4 Piece Grilled Chicken Nuggets,Chick Fil-A,0.0,35,5,70
Crispy Fish Sandwich,Dairy Queen,0.0,20,2,470
Grilled Chicken Garden Greens Salad,Dairy Queen,0.0,40,4,150
Cantina Power Bowl - Veggie,Taco Bell,0.0,10,2,540
Crispy Maple Bacon Dijon Chicken Sandwich,Mcdonalds,0.5,95,1,740
Veggie Delite Salad,Subway,0.0,0,5,50
Footlong Italian B.M.T.,Subway,0.0,90,1,820
Beefy Nacho Griller,Taco Bell,0.0,20,2,420
Sweet BBQ Bacon 1/4 lb Burger,Mcdonalds,1.5,110,1,690
Fiery Doritos® Double Decker® Taco,Taco Bell,0.0,25,3,320
Footlong Black Forest Ham,Subway,0.0,40,2,580
Roast Beef Gyro,Arbys,1.0,60,1,550
Spicy Chicken Crunchwrap Slider,Taco Bell,0.0,25,2,400
XXL Grilled Stuft Burrito - Beef,Taco Bell,1.0,75,1,880
"6"" Roast Beef",Subway,0.0,40,3,320
WHOPPER JR. w/o Cheese,Burger King,0.0,40,2,340
Kids Mini Sub Veggie Delite,Subway,0.0,0,5,150
Classic Chicken Sandwich,Mcdonalds,0.0,65,2,510
4 Piece Super Crunch Chicken Strips,Sonic,0.0,70,2,440
DOUBLE DECKER® Taco Supreme®,Taco Bell,0.0,35,2,350
2 piece Prime-Cut Chicken Tenders,Arbys,0.0,30,3,240
Roast Turkey & Swiss Wrap,Arbys,0.0,65,1,520
Bourbon BBQ Chicken Sandwich,Arbys,0.0,90,1,690
Rodeo King,Burger King,3.5,230,1,1250
Premium Crispy Chicken Deluxe Sandwich,Mcdonalds,0.0,45,2,530
Jr. Deluxe Burger,Sonic,1.0,40,2,380
Buttermilk Chicken Cordon Bleu Sandwich,Arbys,0.0,110,1,690
Buffalo Dunked Ultimate Chicken Sandwich,Sonic,0.5,125,1,1000
Steak Quesalupa,Taco Bell,0.5,60,1,440
"6"" Big Hot Pastrami",Subway,0.0,85,1,580
Lobster Roll,Mcdonalds,0.0,65,3,290
Footlong Turkey & Bacon Avocado,Subway,0.0,60,1,780
Crispy Chicken Farmhouse Salad,Arbys,0.0,65,2,430
Classic French Dip & Swiss/Au Jus,Arbys,1.0,85,1,540
Grilled Sweet BBQ Bacon Chicken Sandwich,Mcdonalds,0.0,135,1,630
Steak Quesadilla,Taco Bell,1.0,65,1,520
4 Piece Spicy Chicken Nuggets,Burger King,0.0,20,3,210
Carved Turkey Salad,Subway,0.0,45,4,150
Footlong Subway Club,Subway,0.0,80,2,620
"6"" Subway Melt (includes cheese)",Subway,0.0,45,2,370
Greek Gyro Salad,Arbys,0.0,55,2,420
BK VEGGIE Burger,Burger King,0.0,5,2,410
Grand Turkey Club,Arbys,0.0,65,1,480
Steak Spicy Cheesy Core Burrito,Taco Bell,0.0,50,1,550
4 piece Chicken Nuggets,Chick Fil-A,0.0,40,4,130
Chicken Deluxe,Chick Fil-A,0.0,75,1,500
Footlong Oven Roasted Chicken,Subway,0.0,50,2,640
Double Chicken Salad,Subway,0.0,100,5,220
Triple Layer Nachos,Taco Bell,0.0,0,4,320
Original Triple Double Crunchwrap,Taco Bell,0.5,45,1,700
Grilled Bacon Smokehouse Chicken Sandwich,Mcdonalds,0.5,155,1,750
Crispy Asiago Caesar Chicken Club Sandwich,Sonic,0.0,80,1,680
"6"" Subway Seafood Sensation",Subway,0.0,20,3,420
Grilled Chili Cheese Dog,Burger King,1.0,40,1,330
"All Beef Chicago Dog – 6""",Sonic,0.0,40,1,430
Chili Dog,Dairy Queen,1.0,40,1,330
Hamburger,Burger King,0.0,35,2,260
Grilled Chicken Sandwich,Burger King,0.0,85,2,470
Soft Taco-Beef,Taco Bell,0.0,25,4,200
Chicken Sandwich,Chick Fil-A,0.0,60,2,440
Double Chalupa,Taco Bell,0.5,50,1,600
Fiesta Taco Salad-Chicken,Taco Bell,0.0,70,1,720
Bean Burrito,Taco Bell,0.0,5,2,370
Double Tostada,Taco Bell,0.0,15,3,270
3 Piece Crispy Chicken Tender Dinner,Sonic,0.0,0,2,280
20 Piece Chicken McNuggets,Mcdonalds,0.0,145,1,890
1/4 lb. GrillBurger with Cheese,Dairy Queen,1.0,70,1,540
Footlong BBQ Rib Sandwich,Subway,0.0,100,1,860
The Original Pretzel Dog,Sonic,0.0,35,2,320
5 piece Prime-Cut Chicken Tenders,Arbys,0.0,75,2,600
Nachos BellGrande®,Taco Bell,0.0,30,1,760
Meatball Marinara Salad,Subway,1.0,30,2,310
Spicy Crispy Jalapeno Chicken Sandwich,Burger King,0.0,95,1,760
6 Piece Chicken Nuggets,Burger King,0.0,40,3,290
Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,Burger King,0.0,120,1,720
Cheese Dog,Dairy Queen,1.0,50,1,390
Deluxe Double Hamburger,Dairy Queen,1.0,100,1,540
20 piece Buttermilk Crispy Chicken Tenders,Mcdonalds,2.0,475,1,2430
Bacon King Jr,Burger King,0.0,90,1,730
Crispy Pico Guacamole Chicken Sandwich,Mcdonalds,0.0,80,1,680
Footlong Turkey Breast & Ham,Subway,0.0,40,2,560
Shredded Chicken Burrito,Taco Bell,0.0,30,2,400
Turkey Avocado Club,Arbys,0.0,65,1,730
Turkey Breast & Ham Salad,Subway,0.0,25,5,110
Footlong Carved Turkey & Bacon w/ Cheese,Subway,0.0,140,1,1140
Footlong Sweet Onion Chicken Teriyaki,Subway,0.0,100,1,760
Footlong Turkey Italiano Melt (with Provolone),Subway,2.0,100,1,980
"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",Burger King,0.0,85,2,450
Turkey Breast Salad,Subway,0.0,20,5,110
Beef 'n Cheddar Mid,Arbys,1.5,100,1,630
Crispy Garlic White Cheddar Chicken Sandwich,Mcdonalds,0.0,85,1,700
Crispy Chicken Garden Greens Salad,Dairy Queen,0.0,40,3,280
Fresco Bean Burrito,Taco Bell,0.0,0,2,350
XXL Grilled Stuft Burrito - Steak,Taco Bell,1.0,70,1,820
Italian B.M.T.® Salad,Subway,0.0,45,2,230
8 piece Chicken Nuggets,Chick Fil-A,0.0,70,2,260
Cool Ranch® Doritos® Locos Taco,Taco Bell,0.0,25,4,160
Reuben Sandwich,Arbys,0.5,80,1,680
Grilled Maple Bacon Dijon Chicken Sandwich,Mcdonalds,0.0,135,1,580
Cheesy Gordita Crunch,Taco Bell,1.0,55,1,490
Fiery Doritos® Locos Taco,Taco Bell,0.0,25,4,170
Beef Spicy Cheesy Core Burrito,Taco Bell,0.5,45,1,570
Roast Turkey & Swiss Sandwich,Arbys,0.0,65,1,710
Garlic White Cheddar Burger,Mcdonalds,1.5,95,1,620
Bourbon BBQ Steak Sandwich,Arbys,0.0,90,1,690
Footlong Big Hot Pastrami,Subway,0.0,170,1,1160
Beef Quesarito,Taco Bell,0.5,60,1,650
Beefy Mini Quesadilla,Taco Bell,0.0,25,3,210
"6"" Turkey Breast",Subway,0.0,20,3,280
Loaded Taco Burrito,Taco Bell,0.5,50,1,550
Footlong Big Philly Cheesesteak,Subway,2.0,170,1,1000
Chalupa Supreme® - Chicken,Taco Bell,0.0,40,3,340
Footlong Cold Cut Combo,Subway,0.0,100,1,740
20 Piece Chicken Nuggets,Burger King,0.0,130,1,950
Regular Cheese Curds,Dairy Queen,0.0,150,1,550
Grilled Chicken Wrap,Dairy Queen,0.0,30,2,280
Turkey Gyro,Arbys,0.0,45,2,470
WHOPPER JR. w/ Cheese,Burger King,1.0,55,2,380
Crispy Chicken Sandwich,Sonic,0.0,45,2,570
Buttermilk Crispy Chicken Sandwich,Arbys,0.0,60,1,550
Pizza Slider,Arbys,0.0,35,2,300
Smokehouse Beef Short Rib Sandwich,Arbys,1.0,75,1,590
Side Caesar Salad with dressing,Burger King,0.0,10,3,220
DQ Ultimate® Burger,Dairy Queen,2.0,150,1,780
Spicy Double Chalupa,Taco Bell,0.5,50,1,600
Chicken Soft Taco,Taco Bell,0.0,30,3,170
12 Piece Grilled Chicken Nuggets,Chick Fil-A,0.0,100,3,210
6 Piece Chicken Strip Basket w/ Country Gravy,Dairy Queen,1.0,120,1,1260
Relish Dog,Dairy Queen,1.0,35,1,350
Arby-Q Sandwich,Arbys,0.0,30,2,400
Veggie Burger W/ Ketchup,Sonic,0.0,10,2,450
Breaded Mushrooms,Dairy Queen,0.0,0,4,250
Italian Hero Salad,Subway,0.0,45,2,230
"Turkey, Bacon & Guacamole Wrap",Subway,0.5,75,1,810
Bacon Cheeseburger,Burger King,0.0,55,1,330
Kids Mini Sub Roast Beef,Subway,0.0,25,5,200
Premium Buttermilk Crispy Chicken Deluxe Sandwich,Mcdonalds,0.0,60,1,570
Artisan Grilled Chicken Sandwich,Mcdonalds,0.0,95,2,380
McDouble,Mcdonalds,1.0,70,1,380
Jr. Deluxe Cheeseburger,Sonic,1.0,60,1,450
Smothered Burrito - Shredded Chicken,Taco Bell,0.0,70,1,650
Chicken Quesadilla,Taco Bell,1.0,75,1,520
Bacon King,Burger King,2.5,220,1,1040
Grilled Chicken BLT Salad,Dairy Queen,0.0,100,1,380
Pork Tenderloin Sandwich,Dairy Queen,0.0,45,1,580
Pretzel Chicken Fries,Burger King,0.0,45,2,340
Crispy Chicken Quesadilla,Taco Bell,0.5,75,1,650
Triple Melt Nachos,Taco Bell,0.0,30,3,260
Pepperoni Pizza,Subway,0.0,60,1,790
"6"" Cold Cut Combo",Subway,0.0,50,2,370
3 piece Prime-Cut Chicken Tenders,Arbys,0.0,45,2,360
4 piece Chick-n-Strips,Chick Fil-A,0.0,90,2,470
Chickstar,Taco Bell,0.0,50,1,620
Express Taco Salad w/ Chips,Taco Bell,1.0,60,1,580
5 Piece Super Crunch Chicken Strips,Sonic,0.0,90,2,550
Cheesy Bacon Pretzel Dog - 6 In.,Sonic,0.0,50,1,500
Bourbon BBQ Brisket Sandwich,Arbys,1.0,105,1,650
Crispy Chicken Sandwich,Burger King,0.5,60,1,670
Subway Club Salad,Subway,0.0,40,4,140
10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,Mcdonalds,0.0,265,1,1600
Footlong Roast Beef,Subway,0.0,80,2,640
Original Cheeseburger,Dairy Queen,1.0,65,1,400
"6"" Rotisserie Style Chicken",Subway,0.0,50,3,350
"All Beef Regular Hot Dog – 6""",Sonic,0.0,40,2,320
Crispy Sweet BBQ Bacon Chicken Sandwich,Mcdonalds,0.5,95,1,800
Crispy Chicken Jr.,Burger King,0.0,30,2,430
"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",Burger King,0.0,115,2,320
Shredded Chicken Mini Quesadilla,Taco Bell,0.0,25,4,180
12 piece Chicken Nuggets,Chick Fil-A,0.0,115,2,390
Jalapeno Burger,Sonic,2.0,100,1,640
Steak Quesarito,Taco Bell,0.5,65,1,630
Bacon Cheeseburger Deluxe,Burger King,0.5,40,2,290
"6"" Italian Hero",Subway,0.0,75,1,550
American Brewhouse King,Burger King,8.0,805,1,1550
"6"" Subway Club",Subway,0.0,40,3,310
Footlong B.L.T.,Subway,0.0,40,1,640
WHOPPER w/o Cheese,Burger King,1.5,90,1,660
"6"" BBQ Rib Sandwich",Subway,0.0,50,2,430
Buffalo Chicken Slider,Arbys,0.0,20,2,290
Sonic Cheeseburger W/ Ketchup,Sonic,2.0,120,1,720
6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,Mcdonalds,0.0,160,1,960
